Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00001   4264198.02   5305049.93     478.00    8.84930    47.84130      -9   1912-01-01   1986-06-30      XX       97.31%          10   Aach
  00002   4084285.27   5646609.07     138.00    6.09960    50.80660      -9   1951-01-01   2006-12-31      XX       99.85%           9   Aachen_(Klaeranlage)
  00003   4083685.18   5643984.52     202.00    6.09410    50.78270      -9   1891-01-01   2011-03-31      XX       87.32%           3   Aachen
  00004   4085431.28   5642234.67     243.00    6.12070    50.76830      -9   1951-01-01   1979-10-31      XX      100.00%           5   Aachen-Brand
  00007   4362569.74   5410079.83     473.00   10.12850    48.81400      -9   1951-01-01   1996-01-31      XX      100.00%           9   Aalen-Unterkochen
  00008   4224148.59   5575762.06     307.00    8.13100    50.25460      -9   1931-01-01   1991-12-31      XX       98.36%           9   Aarbergen-Panrod
  00009   4218553.48   5577271.17     200.00    8.05160    50.26550      -9   1992-06-01   2010-12-31      XX      100.00%           9   Aarbergen-Rueckershausen
  00010   4507912.32   5416368.63     378.00   12.10790    48.88570      -9   1961-01-01   2005-08-31      XX      100.00%           9   Abbach,Bad-Duenzling
  00012   4376499.96   5806733.34      61.00   10.18600    52.38140      -9   1941-01-01   2006-12-31      XX       95.20%           9   Abbensen
  00013   4450772.74   5720202.91     300.00   11.28920    51.61540      -9   1991-01-01   2006-12-31      XX      100.00%           9   Abberode
  00014   4201744.90   5942787.00       9.00    7.50000    53.53330      -9   1951-01-01   1960-12-30      XX      100.00%           5   Abelitzmoor
  00015   4424764.37   5455673.92     390.00   10.96680    49.23460      -9   1951-01-01   2015-12-31      XX      100.00%           1   Abenberg
  00016   4418746.46   5454057.70     370.00   10.88450    49.21930      -9   1941-01-01   1999-12-31      XX       96.61%           9   Abenberg-Wassermungenau
  00017   4486745.07   5411530.67     380.00   11.81940    48.84210      -9   1951-01-01   2009-10-31      XX      100.00%           9   Abensberg-Sandharlanden
  00018   4145054.68   5512974.51     420.00    7.08330    49.65000      -9   1931-01-01   1965-12-30      XX      100.00%           5   Abentheuerhuette
