Number_of_Stations: 19
Stat_ID    Easting_x      Norting_Y         Altitude  Longitude   Latitude     Bl_ID  Start_Date       End_Date        State    data_avail  geoQualLev   Station_Name 
  00068   4539692.02   5685197.84     128.00   12.56920    51.30150      -9   1972-01-01   1997-12-31      XX      100.00%           9   Albrechtshain
  00339   4539286.31   5675338.32     141.00   12.56230    51.21290      -9   1973-01-01   2002-12-31      XX       99.45%           9   Belgershain-Rohrbach
  00444   4546049.95   5672212.86     168.00   12.65870    51.18430      -9   1973-01-01   2002-12-31      XX      100.00%           9   Bernbruch
  00623   4532651.45   5668294.68     135.00   12.46670    51.15000      -9   1969-01-01   1994-12-31      XX       98.72%           9   Borna_(Speicherbecken)
  01166   4546504.24   5702899.50     105.00   12.66920    51.46010      -9   1897-05-01   2015-12-31      XX       96.56%           3   Eilenburg
  01387   4541035.73   5665362.24     164.00   12.58620    51.12310      -9   1969-01-01   1992-08-31      XX       99.64%           9   Floessberg
  01512   4536567.31   5683316.76     138.00   12.52420    51.28480      -9   1969-01-01   2006-12-31      XX       98.69%           9   Fuchshain
  01654   4548991.24   5669503.37     182.00   12.70040    51.15970      -9   1969-01-01   2015-12-31      XX       99.64%           3   Lausick,_Bad-Glasten
  01776   4549721.07   5677931.84     150.00   12.71200    51.23540      -9   1951-01-01   2006-12-31      XX       97.31%           9   Grimma
  01852   4535912.09   5680252.88     162.00   12.51450    51.25730      -9   1969-01-01   1997-12-31      XX       99.71%           9   Grosspoesna-Oberholz
  02450   4538011.70   5698256.67     127.00   12.54650    51.41900      -9   1969-01-01   2001-12-31      XX       99.75%           9   Jesewitz
  02928   4531105.71   5686651.39     138.00   12.44620    51.31510      -9   1863-12-01   2015-12-31      XX       96.15%           3   Leipzig-Holzhausen
  03119   4544983.90   5691671.79     148.00   12.64590    51.35930      -9   1973-01-01   2005-01-31      XX       96.89%           9   Machern
  03977   4542713.27   5678302.58     143.00   12.61170    51.23930      -9   1945-09-01   2007-12-31      XX       99.86%           9   Pomssen
  04988   4533386.77   5692839.92     127.00   12.47950    51.37060      -9   1976-01-01   2015-12-31      XX       99.79%           3   Taucha
  05083   4552574.74   5683645.17     129.00   12.75370    51.28650      -9   1969-01-01   2006-12-31      XX       99.57%           9   Trebsen
  05725   4552325.47   5692998.86     127.00   12.75150    51.37060      -9   1994-01-01   2014-09-30      XX      100.00%           1   Wurzen
  07323   4538526.51   5677891.20     150.00   12.55170    51.23590      -9   2006-01-01   2015-12-31      XX       99.92%           3   Belgershain
  07326   4553437.70   5673118.72     134.00   12.76450    51.19180      -9   2006-01-01   2015-12-31      XX       99.92%           3   Grimma-Kleinbothen
